p_mean,p_std,p_min,p_max,p_drop_pct,p_slope,p_rolling_std_5,p_jitter,q_mean,q_std,q_surge_pct,q_slope,pq_corr,t_mean,t_max,zero_count,sensor_id,pipe_diameter_mm,pipe_age_years,pipe_material,hour_of_day,leak
34.05,1.8513,31.84,37.11,-15.56,0.5405,1.1568,1.6701,23.84,1.071,16.08,0.3042,0.8224,27.6,28.2,0,sensor_015,150,28,PVC,11,0
47.3,2.3026,43.38,51.7,-10.99,0.3662,0.5747,3.4255,56.33,1.6185,5.86,0.3739,0.3811,35.4,36.1,0,sensor_003,250,20,PVC,20,0
48.33,2.9257,45.05,55.82,4.55,-0.4453,1.4468,3.6482,90.83,2.3078,6.04,0.6022,-0.021,36.7,37.4,0,sensor_001,400,20,Steel,17,1
28.44,0.8365,27.19,29.66,-3.13,0.1903,0.7391,0.8333,35.53,0.8112,2.02,0.1321,0.2901,34.0,34.4,0,sensor_001,250,15,PVC,23,0
44.95,2.0284,41.99,47.41,-7.91,-0.0007,1.644,3.4836,42.64,1.1655,-1.48,0.1078,-0.5163,40.8,41.2,0,sensor_011,200,20,HDPE,19,0
24.52,3.012,20.22,28.33,26.31,-0.9977,1.7044,1.4168,14.78,0.4321,-2.78,-0.0781,0.5469,45.1,45.5,0,sensor_001,100,3,Cast Iron,10,1
36.2,1.7672,32.69,38.64,-2.15,-0.0066,1.8689,2.864,64.19,3.2963,-4.55,-0.2828,-0.6842,54.7,55.2,0,sensor_004,400,25,Steel,22,1
22.35,3.009,15.78,26.64,26.47,-0.7403,2.2307,3.1959,29.94,1.9324,-14.99,-0.5388,0.6602,29.3,29.9,0,sensor_006,250,24,PVC,5,0
31.03,1.1103,29.67,33.72,5.26,-0.2154,0.8151,1.632,38.77,1.4475,-3.25,-0.0349,-0.538,30.0,30.4,0,sensor_006,250,17,PVC,22,0
28.74,2.3622,25.14,32.14,20.31,-0.7558,1.2694,1.2109,28.62,1.9489,-13.27,-0.3656,0.6121,25.9,26.4,0,sensor_005,200,24,HDPE,13,0
41.68,2.3725,36.89,45.54,7.1,-0.3926,0.85,3.7638,38.63,1.2199,-5.49,-0.0975,0.0112,40.4,41.0,0,sensor_002,200,16,HDPE,18,0
24.5,0.9043,22.3,25.21,-4.19,0.0713,0.6421,1.5454,44.42,1.6887,12.57,0.3463,0.0132,28.2,28.8,0,sensor_005,400,16,Steel,4,1
16.6,0.589,15.93,17.97,-2.42,-0.0846,0.3077,0.6823,10.21,0.2626,0.22,0.0186,-0.4553,43.2,43.6,0,sensor_012,100,29,Cast Iron,5,1
37.35,1.5537,34.57,39.42,-14.02,0.5127,0.6906,0.7362,26.34,1.1315,4.87,0.2016,0.4653,30.4,30.9,0,sensor_018,150,11,PVC,16,0
34.57,1.2241,32.98,36.53,-9.82,0.4014,0.8403,0.6469,24.58,0.7649,10.41,0.2327,0.7988,50.5,50.8,0,sensor_010,150,10,PVC,10,0
43.11,4.3337,37.96,51.06,-26.87,1.3558,2.4339,3.0113,51.7,3.2921,16.31,0.9633,0.8852,42.2,42.5,0,sensor_010,250,12,PVC,21,0
37.98,3.9801,32.84,46.44,20.36,-1.1826,1.87,3.5195,39.49,0.7875,-2.34,-0.0766,0.2843,26.4,26.7,0,sensor_011,200,17,HDPE,8,1
49.68,2.6646,44.26,54.01,3.18,-0.1875,2.7692,3.7489,88.86,2.079,-6.26,-0.3298,-0.1681,24.9,25.5,0,sensor_012,400,21,Steel,8,0
39.15,3.8315,32.87,44.64,26.37,-1.2854,2.3883,1.9339,58.37,4.037,-17.12,-1.2643,0.8038,47.8,48.1,0,sensor_004,300,14,HDPE,9,0
19.6,2.5008,15.1,23.03,-31.87,0.5775,2.9478,3.1104,13.86,1.0642,22.9,0.3558,0.6785,44.5,44.7,0,sensor_009,150,5,PVC,3,0
43.49,1.9161,41.52,46.63,-5.86,0.4468,1.8461,2.6012,76.35,3.2246,5.31,0.2377,0.4365,48.0,48.6,0,sensor_014,400,10,Steel,7,0
27.67,3.6895,20.67,34.27,39.68,-1.2299,2.4195,1.4468,14.86,1.2846,-23.58,-0.433,0.922,49.4,50.0,0,sensor_008,100,23,Cast Iron,17,0
18.79,2.5363,13.61,21.24,11.44,-0.5836,2.9457,2.738,19.72,0.7096,4.75,-0.0563,0.6566,43.3,44.2,0,sensor_002,200,6,HDPE,4,0
36.18,6.0569,25.76,42.39,39.25,-2.0087,4.2425,1.5317,52.6,10.3032,46.61,2.6839,-0.5761,42.8,43.1,0,sensor_012,200,28,HDPE,20,1
39.2,2.5761,35.02,43.11,15.4,-0.7683,1.8396,2.1584,63.06,2.2227,-5.84,-0.091,0.3803,54.3,54.8,0,sensor_012,250,9,PVC,8,1
46.82,1.3378,43.77,48.22,2.54,0.0593,0.8164,2.462,84.93,2.9791,1.35,0.0006,-0.2173,50.4,51.2,0,sensor_002,400,24,Steel,9,0
16.92,2.1389,13.28,20.22,34.34,-0.7291,1.3071,0.6308,13.97,0.5102,-5.13,0.0516,-0.2582,25.8,26.3,0,sensor_013,150,14,PVC,1,1
38.48,2.3571,34.45,42.05,-13.15,0.651,2.0903,2.639,46.69,2.0901,5.49,0.4812,0.7755,34.8,35.4,0,sensor_004,250,7,PVC,14,0
38.71,2.8791,32.04,42.49,9.59,-0.2124,1.533,4.5149,50.75,2.2959,11.65,0.2632,-0.4642,52.9,53.6,0,sensor_014,250,23,PVC,16,1
44.67,3.8851,35.83,50.63,29.23,-1.2638,3.1161,2.0409,82.71,4.0458,-14.04,-1.3223,0.896,34.5,35.0,0,sensor_019,400,10,Steel,20,0
47.05,3.1822,42.37,51.6,-19.74,1.0519,1.1965,1.5923,80.51,4.0885,18.18,1.3053,0.9051,46.0,46.5,0,sensor_018,400,9,Steel,21,0
47.38,4.3009,41.27,55.44,-34.35,1.4016,3.6464,2.2292,42.5,3.0244,24.13,1.0367,0.9488,35.7,36.1,0,sensor_020,200,13,HDPE,17,0
33.73,2.907,29.29,37.64,11.57,-0.6542,3.0151,2.5937,74.37,7.807,25.69,1.4808,-0.2202,36.8,37.2,0,sensor_013,400,19,Steel,22,1
22.09,1.0809,20.71,24.08,13.17,-0.2368,0.6427,1.5445,34.14,1.4416,6.0,0.327,-0.5159,30.4,30.9,0,sensor_005,300,24,HDPE,4,1
37.45,2.8105,29.7,40.12,6.44,0.1369,1.0987,4.5793,70.16,1.285,-2.04,-0.3085,0.0058,43.0,44.0,0,sensor_006,400,9,Steel,14,0
33.58,2.165,29.65,37.51,-12.86,0.3979,2.8677,2.1714,24.35,0.868,6.04,0.2127,0.1119,54.9,55.5,0,sensor_013,150,11,PVC,10,0
21.6,2.3633,19.62,28.4,3.47,0.0369,3.1279,3.7479,29.84,0.6704,2.06,-0.0058,-0.6574,34.7,35.3,0,sensor_007,300,5,HDPE,3,0
33.22,1.9798,28.85,35.42,-1.52,0.0136,2.3733,1.6854,17.81,0.8974,-4.09,0.0027,-0.9287,27.7,28.4,0,sensor_016,100,7,Cast Iron,18,0
31.5,1.8608,28.25,34.56,-0.05,0.1295,2.222,2.6784,39.85,1.0208,-3.71,-0.1168,-0.2308,43.3,43.8,0,sensor_020,250,1,PVC,6,0
48.27,1.2585,46.89,51.09,1.91,-0.2912,0.5643,1.6908,86.06,1.9238,0.47,0.094,-0.0846,36.4,36.7,0,sensor_018,400,26,Steel,20,1
18.07,3.7067,7.24,20.56,63.03,-0.792,4.8092,3.1876,14.44,0.7081,12.73,0.162,-0.8464,54.2,54.8,0,sensor_003,150,18,PVC,1,1
11.77,2.8047,7.35,16.14,54.45,-0.9686,1.2538,0.5843,6.47,1.0342,-38.61,-0.3537,0.966,34.2,34.7,0,sensor_006,100,21,Cast Iron,4,0
20.52,5.764,11.92,31.29,50.12,-1.6095,2.7483,5.392,10.62,1.3227,-32.67,-0.4257,0.5363,35.1,35.4,0,sensor_017,100,25,Cast Iron,13,0
37.44,4.0508,31.82,43.69,-35.25,1.3688,2.8003,1.5121,25.6,2.1573,26.16,0.7345,0.9642,52.0,52.6,0,sensor_013,150,25,PVC,14,0
21.99,0.6697,21.05,23.51,0.4,0.0105,0.4314,1.121,27.14,0.6437,7.34,0.1429,-0.1082,48.7,49.2,0,sensor_009,250,14,PVC,4,1
21.97,0.5242,21.2,22.81,-5.71,0.028,0.5091,0.8602,40.16,1.4899,1.67,0.0736,-0.2001,53.4,53.8,0,sensor_006,400,1,Steel,3,1
25.04,2.928,20.4,28.12,23.35,-0.8536,2.3632,1.8711,20.17,0.8134,2.97,0.1029,-0.1215,29.9,30.4,0,sensor_002,150,10,PVC,22,1
49.5,6.2487,39.94,58.99,-47.69,2.1653,2.8749,1.1122,58.26,5.5996,33.27,1.9134,0.9883,42.8,43.3,0,sensor_006,250,3,PVC,16,0
36.48,5.4122,28.45,43.79,35.04,-1.8533,2.608,1.1022,35.57,3.5453,-24.93,-1.2006,0.9558,29.7,29.9,0,sensor_016,200,9,HDPE,19,0
40.94,3.5661,32.24,45.54,-36.67,0.8931,0.8774,3.0845,72.26,2.2635,7.96,0.6275,0.6848,34.7,35.1,0,sensor_011,400,1,Steel,13,0
24.88,6.6402,14.14,32.88,57.0,-2.2752,3.1168,1.5069,17.61,0.8236,-0.01,0.0913,-0.2672,54.0,54.5,0,sensor_014,100,11,Cast Iron,20,1
31.28,4.5085,25.29,38.39,29.52,-1.4823,1.7215,2.2273,69.31,2.4783,0.03,0.0328,-0.1556,36.2,36.7,0,sensor_015,400,27,Steel,12,1
39.96,1.5903,37.48,42.86,-1.71,-0.0314,1.6941,2.6629,55.15,1.4059,-0.67,-0.0253,0.1419,44.7,45.3,0,sensor_004,300,20,HDPE,14,0
32.42,1.1625,30.42,34.64,-3.43,-0.133,1.0446,1.8763,29.79,0.6011,-3.34,-0.1107,0.2963,37.9,38.5,0,sensor_003,200,11,HDPE,12,0
25.73,2.5463,22.46,30.26,22.32,-0.8098,0.609,1.1099,29.28,0.8551,8.68,0.2098,-0.7769,40.2,40.8,0,sensor_011,200,3,HDPE,6,1
14.76,9.8786,2.48,31.53,92.13,-3.3578,2.5611,1.852,24.79,2.6082,15.19,-0.0982,0.0625,52.6,53.5,0,sensor_013,150,19,PVC,13,1
43.77,2.3359,41.45,49.02,-15.94,0.6271,2.6089,1.7408,52.72,2.6226,17.48,0.7947,0.696,49.7,50.2,0,sensor_012,250,9,PVC,16,0
32.22,3.1846,28.03,37.2,-27.73,0.9484,1.3876,2.5884,15.18,0.7644,16.3,0.208,0.4196,29.1,29.3,0,sensor_016,100,13,Cast Iron,10,0
18.87,1.1057,17.02,20.51,-11.97,0.2521,0.9421,1.5313,9.27,0.6314,15.16,0.1535,0.6693,34.2,34.6,0,sensor_005,100,17,Cast Iron,0,0
18.88,6.5514,6.28,29.7,62.38,-2.1719,4.4253,3.4644,30.7,5.151,-41.98,-1.7804,0.9351,40.2,41.0,0,sensor_016,300,29,HDPE,5,0
44.46,2.0656,41.7,48.18,3.39,-0.4205,0.8812,2.0352,68.21,2.175,5.56,0.3494,-0.2118,39.8,40.0,0,sensor_007,300,14,HDPE,17,1
37.4,1.7552,34.85,40.32,13.58,-0.3575,1.8335,1.8614,69.42,1.8975,1.65,0.2895,-0.5234,28.2,28.6,0,sensor_004,400,19,Steel,12,1
28.3,0.7503,27.11,29.42,3.46,-0.1524,0.8964,0.8906,13.83,0.7157,-7.62,-0.1494,-0.0265,49.0,49.6,0,sensor_019,100,28,Cast Iron,21,0
25.44,2.7604,23.61,33.52,5.03,0.1755,3.6557,4.3266,44.45,1.0829,7.59,0.1278,0.0065,46.7,47.3,0,sensor_011,400,25,Steel,4,0
54.87,4.317,48.87,61.36,-18.64,1.3679,1.7839,2.9483,93.85,4.3088,9.42,1.1442,0.6626,49.2,49.9,0,sensor_012,400,7,Steel,20,0
31.42,2.9599,26.66,36.29,26.54,-0.9669,1.797,1.873,34.78,1.2859,8.73,0.3177,-0.6677,45.6,45.9,0,sensor_015,200,2,HDPE,15,1
43.37,4.8002,37.59,50.93,25.91,-1.6319,1.1573,1.0747,71.34,2.2488,10.18,0.4879,-0.5901,33.0,33.6,0,sensor_010,300,28,HDPE,18,1
25.91,1.6893,22.88,28.53,-21.44,0.5306,1.0029,1.1196,31.36,1.186,5.3,0.3236,0.5968,48.4,48.9,0,sensor_006,250,10,PVC,0,0
26.84,0.8362,25.04,27.92,7.16,-0.156,0.8205,1.1951,13.43,0.3795,0.49,-0.0193,-0.2901,53.4,54.0,0,sensor_001,100,19,Cast Iron,11,1
17.23,1.6954,14.8,20.22,22.72,-0.4522,0.6404,1.9703,15.92,1.0528,-10.23,-0.2813,0.6357,52.4,52.7,0,sensor_013,200,24,HDPE,2,0
31.07,1.0797,29.36,32.65,6.38,-0.3196,0.7285,0.7439,15.94,0.4828,-4.2,-0.1242,0.7265,38.5,38.8,0,sensor_003,100,28,Cast Iron,17,0
41.17,1.7301,38.32,44.42,11.03,-0.4994,1.3426,1.6697,41.58,0.8433,4.31,0.135,-0.5706,32.4,33.0,0,sensor_002,200,10,HDPE,18,1
17.1,0.9223,15.26,18.57,7.84,-0.214,0.7016,1.0539,35.52,1.6183,1.23,0.0491,0.2019,38.4,38.9,0,sensor_012,250,20,PVC,2,1
37.6,1.7086,35.08,40.17,8.39,-0.5451,0.5644,0.935,57.64,1.7918,-1.4,-0.1966,0.2208,47.9,48.5,0,sensor_006,300,27,HDPE,10,1
28.74,2.3327,25.06,32.87,23.75,-0.8035,1.0784,0.568,27.71,1.9994,-14.47,-0.6388,0.9041,40.5,40.8,0,sensor_010,200,7,HDPE,12,0
36.49,1.7412,34.05,39.59,8.5,-0.4028,1.5292,2.4697,33.92,1.1798,-6.37,-0.3401,0.5677,53.5,53.8,0,sensor_003,200,13,HDPE,16,0
34.25,3.5855,26.01,39.25,18.56,-0.9017,2.8305,3.9073,75.71,9.8574,66.27,1.5668,-0.5286,48.7,49.4,0,sensor_018,250,29,PVC,7,1
25.28,0.9279,24.15,26.61,6.63,-0.2334,0.2513,0.9386,25.05,0.8178,2.29,-0.0054,0.1765,35.6,36.1,0,sensor_006,200,10,HDPE,23,1
34.6,1.5606,32.55,37.37,12.91,-0.5298,0.5264,0.5358,52.62,1.7493,5.05,0.1765,-0.3127,28.0,28.5,0,sensor_009,300,6,HDPE,12,1
32.15,1.3135,29.0,33.92,-4.17,0.1517,0.5407,1.7077,16.0,0.6488,5.69,0.1346,0.1065,38.8,39.1,0,sensor_003,100,19,Cast Iron,9,0
19.77,0.9098,18.74,21.65,9.37,-0.1932,0.3761,1.0944,32.2,1.0769,11.07,0.2684,-0.2638,51.9,52.2,0,sensor_012,300,22,HDPE,3,1
20.02,1.1798,17.98,22.11,10.2,-0.2532,0.9044,1.1821,26.46,0.8081,-8.16,-0.1384,0.4276,40.8,41.2,0,sensor_020,250,15,PVC,4,0
25.68,3.1519,20.61,29.91,31.12,-1.089,1.5753,0.5791,31.0,0.9523,0.81,-0.1747,0.5535,26.4,26.9,0,sensor_016,200,18,HDPE,6,1
14.07,1.3162,12.59,16.79,19.57,-0.3631,0.4647,1.2808,7.2,0.4232,-12.16,-0.1114,0.8973,25.2,25.7,0,sensor_003,100,23,Cast Iron,2,0
36.76,2.1483,34.47,40.97,9.32,-0.645,0.6461,1.4686,35.61,1.9652,-8.93,-0.5829,0.8158,35.4,35.9,0,sensor_020,200,6,HDPE,20,0
21.47,2.6495,19.01,28.89,-51.95,0.7234,2.9325,2.1152,18.64,0.8074,9.77,0.2351,0.6466,30.6,31.4,0,sensor_015,200,1,HDPE,3,0
14.25,4.5797,7.39,22.89,56.01,-1.4488,1.5053,2.8203,19.07,1.3305,11.92,-0.0264,0.3679,42.6,43.1,0,sensor_010,150,21,PVC,5,1
40.7,1.8037,37.24,43.71,1.84,-0.1087,1.7104,3.1906,39.1,1.4009,-4.65,-0.2447,0.051,46.4,46.8,0,sensor_002,200,23,HDPE,17,0
35.72,2.0083,31.88,38.69,14.48,-0.3462,2.4787,2.8005,57.47,3.3846,3.0,0.7072,-0.0611,51.8,52.2,0,sensor_013,300,11,HDPE,14,1
53.1,4.2733,43.88,59.08,-34.23,1.3854,2.3429,1.8719,90.63,6.7088,19.57,2.2365,0.8667,54.6,55.0,0,sensor_003,400,14,Steel,9,0
19.99,2.0058,16.32,22.86,27.12,-0.599,1.2935,1.6102,41.17,1.2687,1.06,0.0139,-0.2837,29.7,30.2,0,sensor_016,400,29,Steel,2,1
22.42,0.7107,21.09,23.36,3.84,-0.1794,0.5781,0.7433,34.95,0.9386,0.54,0.1931,-0.4289,50.6,50.9,0,sensor_015,300,1,HDPE,1,1
31.77,1.923,28.17,34.4,-0.51,-0.2556,1.8102,2.414,55.99,1.1338,-1.71,0.0581,-0.6599,30.7,31.5,0,sensor_020,400,5,Steel,23,0
22.42,3.3492,17.27,27.35,36.85,-1.1072,2.1844,1.3958,33.02,3.7307,-27.38,-1.2754,0.9561,38.3,38.6,0,sensor_017,300,6,HDPE,5,0
30.62,1.7467,27.95,34.15,13.64,-0.5038,0.7662,1.1604,22.38,0.9789,-4.66,-0.2507,0.716,51.2,51.6,0,sensor_020,150,27,PVC,15,0
19.48,2.0003,16.85,24.39,13.63,-0.05,2.7627,3.4294,23.9,0.9795,-10.93,-0.3113,-0.0355,44.3,44.9,0,sensor_012,250,7,PVC,3,0
28.3,2.2657,23.97,31.44,23.29,-0.7201,1.4329,1.6263,23.29,0.7113,0.82,0.0932,-0.2269,33.4,33.9,0,sensor_015,150,2,PVC,14,1
36.42,8.1057,24.84,48.92,49.22,-2.8121,3.5838,0.8985,71.72,10.7752,-35.18,-3.7092,0.9923,33.1,33.4,0,sensor_008,400,25,Steel,17,0
20.12,1.4787,17.17,22.28,-14.77,0.4034,0.8514,1.2852,18.36,0.9744,13.13,0.2818,0.5676,49.7,50.1,0,sensor_005,200,12,HDPE,2,0
44.86,3.4531,38.19,51.61,-26.76,0.9197,2.9743,3.7717,40.22,2.1855,16.18,0.685,0.5947,52.4,52.7,0,sensor_014,200,24,HDPE,17,0
21.43,1.202,19.11,22.95,-19.54,0.3789,0.5709,0.7538,26.58,1.4846,20.5,0.4747,0.8888,48.1,48.6,0,sensor_002,250,1,PVC,3,0
21.37,2.0982,15.48,23.31,5.52,0.1019,0.5808,3.4237,33.59,0.3805,-0.95,-0.0478,0.023,41.5,42.0,0,sensor_004,300,15,HDPE,4,1
22.96,6.3774,12.84,30.38,55.72,-2.1317,3.6825,1.813,31.76,7.3343,44.65,1.5895,-0.4593,28.8,29.4,0,sensor_019,150,10,PVC,13,1
23.48,0.5852,22.49,24.36,6.06,-0.1091,0.6188,0.5296,29.58,0.6807,-1.81,0.0522,0.0803,50.1,50.2,0,sensor_008,250,26,PVC,0,1
19.57,0.5688,18.8,20.82,-1.63,0.0823,0.6128,0.8951,9.65,0.2931,-0.98,-0.0118,-0.3388,41.9,42.4,0,sensor_009,100,13,Cast Iron,5,0
20.01,2.8844,16.4,24.17,32.16,-0.9883,0.9174,0.5911,15.8,1.4894,-22.05,-0.4932,0.9505,30.4,30.7,0,sensor_018,150,5,PVC,23,0
45.25,0.8782,43.86,47.18,0.59,0.0098,0.9564,1.4852,64.83,2.2553,-2.94,-0.225,0.0295,37.9,38.1,0,sensor_006,300,19,HDPE,20,0
30.74,1.1827,29.07,33.07,7.66,-0.2212,0.9529,1.6357,15.74,0.4379,-7.25,-0.0034,-0.1568,31.5,32.2,0,sensor_019,100,15,Cast Iron,9,1
19.04,9.5009,8.14,37.8,78.48,-3.1684,1.8338,2.8901,50.33,4.7223,-28.25,-1.378,0.7887,48.2,48.6,0,sensor_015,200,3,HDPE,10,1
32.15,2.7541,28.35,38.93,-10.98,0.4768,2.7537,3.7869,22.51,0.7391,6.75,0.1915,0.2874,52.5,53.0,0,sensor_005,150,14,PVC,12,0
37.76,1.1982,35.67,39.74,-6.38,0.2409,1.1209,1.4254,68.27,1.964,2.15,-0.1906,0.2553,33.6,34.0,0,sensor_013,400,4,Steel,12,0
35.0,0.8443,33.74,36.24,-0.26,-0.1267,0.8429,1.1884,43.8,1.2947,-2.49,-0.1941,0.245,38.5,39.0,0,sensor_010,250,22,PVC,11,0
16.6,0.5811,15.7,17.5,6.35,-0.0986,0.3805,0.8236,8.06,0.4579,4.01,-0.022,-0.2612,46.2,46.7,0,sensor_007,100,12,Cast Iron,4,0
19.52,8.4222,5.04,29.79,81.67,-2.6918,4.0358,4.2992,17.69,2.6831,25.0,0.4104,-0.2516,39.7,40.1,0,sensor_015,100,19,Cast Iron,10,1
31.04,1.3945,28.88,33.29,8.6,-0.442,0.5421,0.8993,28.47,0.8269,-9.65,-0.1881,0.4012,53.5,53.8,0,sensor_001,200,23,HDPE,13,0
48.13,4.2275,41.01,53.52,-30.5,1.4053,1.2691,2.1471,82.98,6.1807,18.43,1.9396,0.8136,37.4,37.9,0,sensor_007,400,9,Steel,21,0
25.37,8.3282,12.38,35.8,63.22,-2.7299,4.1271,2.989,17.71,1.1758,8.57,0.3095,-0.8619,49.7,50.0,0,sensor_014,100,16,Cast Iron,17,1
20.18,1.9914,17.42,23.35,25.39,-0.5706,0.9783,1.8123,16.15,0.8263,5.46,-0.0734,0.4409,28.8,29.2,0,sensor_004,150,22,PVC,5,1
15.32,0.6116,13.92,16.01,-3.38,-0.0398,0.4316,0.8673,7.13,0.1737,-0.62,0.0144,-0.1358,44.5,45.3,0,sensor_004,100,22,Cast Iron,2,0
36.98,5.7839,28.49,44.81,36.34,-1.9154,2.9921,3.2083,49.3,4.4265,-24.96,-1.5364,0.9568,53.3,53.8,0,sensor_011,250,3,PVC,17,0
37.85,1.3076,36.19,40.0,-9.92,0.3842,1.1965,1.3851,18.37,0.4394,5.19,0.081,0.2278,45.5,45.9,0,sensor_016,100,14,Cast Iron,19,0
32.44,7.2508,21.34,42.67,43.08,-2.2426,4.5761,3.0614,67.61,10.6086,31.85,2.3357,-0.2995,32.2,32.7,0,sensor_004,300,14,HDPE,11,1
41.92,1.4705,39.08,44.57,-7.09,0.3344,1.1587,1.4189,58.09,1.7233,9.11,0.5492,0.4965,33.1,33.5,0,sensor_019,300,23,HDPE,15,0
39.08,3.0359,34.55,42.89,-19.1,0.9578,1.0797,1.9074,27.56,1.8196,20.75,0.5579,0.7773,25.3,25.5,0,sensor_013,150,29,PVC,16,0
17.98,1.4295,16.58,21.77,-20.76,0.2567,1.766,1.5623,12.54,0.7019,1.43,0.0633,0.3973,51.0,51.4,0,sensor_004,150,26,PVC,2,0
31.15,3.3428,26.49,36.51,21.2,-0.9723,2.1281,3.62,17.36,0.8467,11.08,-0.0069,0.2396,31.6,32.2,0,sensor_020,100,21,Cast Iron,18,1
21.68,2.0106,19.33,25.16,14.46,-0.6122,0.8977,1.3546,11.83,0.5749,-10.5,-0.1802,0.9197,44.6,45.2,0,sensor_018,100,21,Cast Iron,12,0
45.35,5.3654,37.76,52.91,-40.04,1.8285,2.754,1.9173,62.38,4.4655,22.65,1.4465,0.9155,54.0,54.3,0,sensor_005,300,21,HDPE,14,0
20.27,1.6466,17.9,24.29,-19.16,0.1649,2.2523,2.499,25.03,0.5939,-3.69,-0.0319,-0.5844,49.3,49.7,0,sensor_014,250,4,PVC,3,0
14.04,2.2389,10.75,17.9,39.34,-0.761,1.2213,0.8231,7.37,0.7185,-27.12,-0.2424,0.9626,50.0,50.6,0,sensor_006,100,20,Cast Iron,0,0
39.74,4.8052,33.16,46.04,15.42,-1.4386,1.9931,3.0842,80.0,3.5457,7.17,0.6801,-0.5625,31.8,32.5,0,sensor_004,400,3,Steel,7,1
26.99,2.9409,22.04,31.41,29.84,-0.9661,1.8681,1.7257,42.13,1.7333,2.85,0.0724,-0.0543,28.5,29.0,0,sensor_005,250,14,PVC,6,1
48.51,2.9864,44.09,54.3,14.8,-0.4987,3.4528,4.5635,90.77,2.3414,0.89,0.0739,-0.3551,52.7,53.4,0,sensor_012,400,11,Steel,8,0
29.72,0.9419,27.67,31.15,8.7,-0.2491,0.8076,0.8568,61.46,4.9558,21.56,1.249,-0.3004,53.3,53.8,0,sensor_018,400,25,Steel,23,1
22.75,0.8249,21.93,24.71,4.33,-0.1255,0.6052,0.9022,17.84,0.507,1.87,0.0545,0.0124,53.7,54.2,0,sensor_002,150,1,PVC,23,0
24.19,1.144,23.15,27.38,13.66,-0.2298,0.33,1.0818,43.81,0.6938,-1.47,0.0417,0.0672,29.7,30.4,0,sensor_009,400,4,Steel,4,0
27.18,0.9565,25.86,28.55,7.43,-0.2185,0.9855,1.1421,19.96,0.6019,2.58,0.0445,0.2296,32.8,33.2,0,sensor_009,150,12,PVC,22,1
35.27,2.2876,32.45,39.45,12.76,-0.6045,0.8623,2.383,25.74,0.7927,-6.73,-0.1756,0.1912,49.2,49.6,0,sensor_014,150,16,PVC,8,0
45.17,1.4886,42.17,47.25,5.01,-0.4138,1.1294,1.289,83.9,2.2793,0.63,-0.1895,0.2168,53.5,53.8,0,sensor_012,400,8,Steel,9,1
36.01,1.1335,34.5,38.12,9.33,-0.2467,1.19,1.4451,46.33,1.5181,-7.41,-0.3628,0.6749,42.1,42.6,0,sensor_018,250,19,PVC,10,0
38.58,5.8511,29.56,47.75,-55.06,1.8816,3.0826,3.5179,17.74,1.5315,29.5,0.513,0.858,46.9,47.4,0,sensor_003,100,11,Cast Iron,16,0
29.19,5.328,19.7,37.18,47.0,-1.8344,3.229,1.024,56.55,7.0754,-35.75,-2.3655,0.9479,35.1,35.5,0,sensor_008,400,14,Steel,13,0
29.16,0.7321,27.95,30.28,-1.1,0.0916,0.8011,0.8526,14.26,0.196,2.49,0.0317,-0.0243,47.1,48.0,0,sensor_019,100,8,Cast Iron,21,0
35.09,1.8535,32.44,37.62,12.72,-0.5861,0.7673,1.1959,45.09,2.0954,-1.64,-0.4731,0.7611,40.9,41.5,0,sensor_012,250,3,PVC,10,0
35.09,1.7901,31.74,37.31,-14.91,0.5185,0.6903,1.2522,24.89,0.9568,6.58,0.14,0.3006,27.5,28.0,0,sensor_018,150,1,PVC,7,0
42.69,1.2738,40.86,44.81,4.33,-0.2936,0.7165,1.8345,65.84,2.3228,14.51,0.5519,-0.3495,40.7,41.1,0,sensor_011,300,27,HDPE,9,1
31.52,3.8627,23.99,37.18,10.98,-1.0321,2.1403,3.1912,54.5,5.2451,16.15,1.1801,-0.4746,38.3,38.8,0,sensor_009,300,27,HDPE,22,1
33.4,2.9097,28.44,37.37,23.9,-0.9828,2.1859,1.0626,44.44,3.6213,-22.49,-1.2357,0.9533,48.1,48.5,0,sensor_003,250,28,PVC,15,0
16.14,0.8993,14.69,17.31,-16.2,0.2888,0.3729,0.4226,8.21,0.2273,6.0,0.0738,0.8828,45.2,45.6,0,sensor_011,100,9,Cast Iron,3,0
22.68,1.2944,20.39,24.97,-9.3,0.0695,1.6883,2.3449,27.17,0.9595,2.72,0.0028,0.5451,43.4,44.4,0,sensor_004,250,4,PVC,1,0
47.69,2.1917,41.74,50.35,13.09,-0.4831,2.6451,2.5549,60.29,1.4126,2.93,0.0914,-0.6848,54.3,54.8,0,sensor_017,250,27,PVC,19,1
30.24,5.2021,23.47,40.5,35.68,-1.7148,1.5397,1.8562,48.1,5.7709,-31.17,-1.8748,0.8334,27.7,28.1,0,sensor_013,300,16,HDPE,10,0
38.33,2.162,35.61,41.24,10.98,-0.5826,1.5715,2.1512,73.48,1.6859,-0.93,-0.1518,0.5121,28.5,29.1,0,sensor_002,400,26,Steel,14,1
29.83,3.8609,24.28,35.04,29.98,-1.3178,1.5541,0.9613,39.16,3.6582,-22.84,-1.2118,0.9239,44.3,44.7,0,sensor_016,250,12,PVC,14,0
27.46,1.869,24.87,31.47,-26.54,0.4586,2.0953,2.0519,37.74,1.7848,13.65,0.49,0.5845,44.7,45.4,0,sensor_013,300,3,HDPE,0,0
